"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"102",10022,"C0202F071",51,1.617319877,"measured",0,14,"",1840,-120.57,39.3,"F","CA"
"103",10033,"C0202F072",35.39,1.617319877,"measured",0,6,"",1840,-120.57,39.3,"F","CA"
"104",10030,"C0202F073",48.79,1.617319877,"measured",0,5,"",1840,-120.57,39.3,"F","CA"
"105",10027,"C0202F074",53.14,1.617319877,"measured",0,6,"",1840,-120.57,39.3,"F","CA"
"106",10036,"C0202F075",31.56,1.617319877,"measured",0,3,"",1840,-120.57,39.3,"F","CA"
"107",10039,"C0202F081",32.42,1.617319877,"measured",0,3,"",1954,-120.09,38.93,"F","CA"
"108",10043,"C0202F082",31.76,1.617319877,"measured",0,1,"",1954,-120.09,38.93,"F","CA"
"109",10048,"C0202F083",31.93,1.617319877,"measured",0,3,"",1954,-120.09,38.93,"F","CA"
"110",10052,"C0202F084",45.1,1.617319877,"measured",0,5,"",1954,-120.09,38.93,"F","CA"
"111",10055,"C0202F085",32.05,1.617319877,"measured",0,2,"",1954,-120.09,38.93,"F","CA"
"112",10066,"C0202F092",54.31,1.617319877,"measured",0,3,"",1818,-120.59,39.44,"F","CA"
"113",10069,"C0202F093",39.1,1.617319877,"measured",0,3,"",1818,-120.59,39.44,"F","CA"
"114",10073,"C0202F094",50.8,1.617319877,"measured",0,2,"",1818,-120.59,39.44,"F","CA"
"115",10077,"C0202F095",24.21,1.617319877,"measured",0,5,"",1818,-120.59,39.44,"F","CA"
"116",10080,"C0202F101",28.27,1.617319877,"measured",0,3,"",2116,-120.49,39.53,"F","CA"
"117",10085,"C0202F102",32.07,1.617319877,"measured",0,3,"",2116,-120.49,39.53,"F","CA"
"118",10089,"C0202F103",22.79,1.617319877,"measured",0,13,"",2116,-120.49,39.53,"F","CA"
"119",10099,"C0202F171",41.59,1.617319877,"measured",0,1,"",1485,-121.15,40.28,"F","CA"
"120",10108,"C0202F172",53.43,1.617319877,"measured",0,3,"",1485,-121.15,40.28,"F","CA"
"121",10115,"C0202F173",48.41,1.617319877,"measured",0,1,"",1485,-121.15,40.28,"F","CA"
"122",10122,"C0202F174",52.98,1.617319877,"measured",0,1,"",1485,-121.15,40.28,"F","CA"
"123",10130,"C0202F175",53.93,1.617319877,"measured",0,3,"",1485,-121.15,40.28,"F","CA"
"124",10635,"C0203W011",1.13,1.617319877,"measured",0,5,"sic",-60,-115.57,33.27,"W","CA"
"125",10825,"C0204C071",28.36,1.617319877,"measured",0,5,"",167,-116.86,32.88,"C","CA"
"126",10838,"C0204C074",37.96,1.617319877,"measured",0,5,"",167,-116.86,32.88,"C","CA"
"127",10895,"C0204F032",16.27,1.617319877,"measured",0,5,"",1061,-120.77,39.2,"F","CA"
