"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"166",122562,"C1507C092",2.779622278,1.728052256,"modeled",0,5,"ls",104,-85.3,31.35,"C","AL"
"167",122566,"C1507C093",3.50703293,2.180273274,"modeled",0,5,"ls",104,-85.3,31.35,"C","AL"
"168",122570,"C1507C094",3.051617615,1.897147949,"modeled",0,5,"ls",104,-85.3,31.35,"C","AL"
"169",122575,"C1507C095",3.050408323,1.896396149,"modeled",0,5,"ls",104,-85.3,31.35,"C","AL"
"170",122649,"C1507C161",1.730081209,1.075567266,"modeled",0,25,"ls",59,-85.76,31.06,"C","AL"
"171",122639,"C1507C162",2.23374269,1.388686558,"modeled",0,8,"ls",59,-85.76,31.06,"C","AL"
"172",122635,"C1507C163",2.738057405,1.702211956,"modeled",0,5,"ls",59,-85.76,31.06,"C","AL"
"173",122645,"C1507C164",2.288281408,1.422592515,"modeled",0,6,"ls",59,-85.76,31.06,"C","AL"
"174",122653,"C1507C165",2.295337279,1.426979052,"modeled",0,7,"ls",59,-85.76,31.06,"C","AL"
"175",122824,"C1507F111",2.171003034,1.349682192,"modeled",0,8,"sil",NA,-88.05,34.75,"F","AL"
"176",122828,"C1507F112",0.871129333,0.541568911,"modeled",0,6,"sil",NA,-88.05,34.75,"F","AL"
"177",122832,"C1507F113",1.065439398,0.662368758,"modeled",0,8,"fsl",NA,-88.05,34.75,"F","AL"
"178",122836,"C1507F114",1.975702775,1.228266755,"modeled",0,8,"vfsl",NA,-88.05,34.75,"F","AL"
"179",122840,"C1507F115",1.176443225,0.731378283,"modeled",0,7,"vfsl",NA,-88.05,34.75,"F","AL"
"180",122864,"C1507F131",1.748394893,1.086952627,"modeled",0,6,"fsl",NA,-87.79,33.06,"F","AL"
"181",122867,"C1507F132",0.903730176,0.561836398,"modeled",0,6,"scl",NA,-87.79,33.06,"F","AL"
"182",122870,"C1507F133",0.779140039,0.484380454,"modeled",0,12,"fsl",NA,-87.79,33.06,"F","AL"
"183",122873,"C1507F134",0.917791441,0.57057809,"modeled",0,10,"fsl",NA,-87.79,33.06,"F","AL"
"184",122876,"C1507F135",1.391591587,0.865133007,"modeled",0,12,"scl",NA,-87.79,33.06,"F","AL"
"185",122879,"C1507F161",4.777237078,2.96994141,"modeled",0,10,"ls",106,-85.47,31.43,"F","AL"
"186",122885,"C1507F162",3.460927857,2.151610396,"modeled",0,15,"",106,-85.47,31.43,"F","AL"
"187",122887,"C1507F163",3.961528474,2.462826791,"modeled",0,10,"",106,-85.47,31.43,"F","AL"
"188",122890,"C1507F164",25.34441175,15.75626596,"modeled",0,9,"",106,-85.47,31.43,"F","AL"
"189",122893,"C1507F165",10.37006928,6.44692689,"modeled",0,11,"",106,-85.47,31.43,"F","AL"
"190",122896,"C1507F171",1.485962136,0.923801856,"modeled",0,5,"ls",110,-85.32,31.37,"F","AL"
"191",122900,"C1507F172",1.389510146,0.863839005,"modeled",0,5,"ls",110,-85.32,31.37,"F","AL"
"192",122904,"C1507F173",1.734615444,1.078386137,"modeled",0,5,"ls",110,-85.32,31.37,"F","AL"
"193",122907,"C1507F174",2.238955681,1.391927401,"modeled",0,5,"ls",110,-85.32,31.37,"F","AL"
"194",122910,"C1507F175",2.362887414,1.468974025,"modeled",0,5,"ls",110,-85.32,31.37,"F","AL"
"195",123084,"C1507F261",1.817861649,1.130139137,"modeled",0,15,"fsl",27,-87.51,32.05,"F","AL"
"196",123089,"C1507F262",1.672414013,1.039716378,"modeled",0,20,"",27,-87.51,32.05,"F","AL"
"197",123092,"C1507F263",2.901682599,1.803935448,"modeled",0,20,"",27,-87.51,32.05,"F","AL"
"198",123095,"C1507F264",2.201718498,1.368777566,"modeled",0,9,"",27,-87.51,32.05,"F","AL"
"199",123098,"C1507F265",2.056102657,1.278250236,"modeled",0,15,"",27,-87.51,32.05,"F","AL"
"200",123182,"C1507F311",2.477834349,1.540434925,"modeled",0,17,"sl",NA,-87.81,31.56,"F","AL"
"201",123187,"C1507F312",2.68123081,1.666883657,"modeled",0,10,"",NA,-87.81,31.56,"F","AL"
"202",123191,"C1507F313",5.525708377,3.435255538,"modeled",0,8,"",NA,-87.81,31.56,"F","AL"
"203",123194,"C1507F314",3.796246762,2.360073464,"modeled",0,9,"",NA,-87.81,31.56,"F","AL"
